ITEM___1,ITEM___2,support___1,support___2,support___1_2,confidence___1_if_2,confidence___2_if_1
LIQUID TOILET SOAPS  (8/93),SCOURING PADS/SCRUBS,2.30%,1.70%,0.10%,8.50%,6.20%
LIQUID TOILET SOAPS  (8/93),SQSH CRDLS & SFT DRNK-CONVERTD,2.30%,1.90%,0.10%,5.00%,4.10%
LIQUID TOILET SOAPS  (8/93),SUGAR SUBSTITUTE (11/05),2.30%,0.40%,0.10%,14.30%,2.70%
LIQUID TOILET SOAPS  (8/93),TALCUM POWDERS,2.30%,1.70%,0.10%,3.70%,2.70%
MILK POWDERS,MOSQUITO REPELLANTS CTG (8/93),1.70%,1.90%,0.10%,3.30%,3.70%
MILK POWDERS,PACKAGED PURE GHEE,1.70%,4.90%,0.10%,2.20%,6.50%
MILK POWDERS,PRE-POST WASH PRODUCTS,1.70%,3.30%,0.10%,3.70%,7.40%
MILK POWDERS,READY TO EAT,1.70%,3.90%,0.10%,2.80%,6.50%
MILK POWDERS,SANITARY NAPKINS,1.70%,2.90%,0.10%,3.20%,5.60%
MILK POWDERS,SCOURING PADS/SCRUBS,1.70%,1.70%,0.10%,3.80%,3.70%
MILK POWDERS,SHAMPOO - BY SEGMENTS,1.70%,4.30%,0.10%,1.80%,4.60%
MILK POWDERS,SQSH CRDLS & SFT DRNK-CONVERTD,1.70%,1.90%,0.10%,7.50%,8.30%
MILK POWDERS,SUGAR SUBSTITUTE (11/05),1.70%,0.40%,0.10%,25.00%,6.50%
MILK POWDERS,TOOTH BRUSH   (7/93),1.70%,1.60%,0.10%,4.90%,4.60%
MOSQUITO REPELLANTS CTG (8/93),NON-REFINED OILS   (9/93),1.90%,1.70%,0.10%,3.70%,3.30%
MOSQUITO REPELLANTS CTG (8/93),READY TO EAT,1.90%,3.90%,0.10%,3.20%,6.70%
MOSQUITO REPELLANTS CTG (8/93),SCOURING PADS/SCRUBS,1.90%,1.70%,0.10%,6.60%,5.80%
MOSQUITO REPELLANTS CTG (8/93),SKIN CREAMS,1.90%,4.00%,0.10%,3.50%,7.50%
MOSQUITO REPELLANTS CTG (8/93),SQSH CRDLS & SFT DRNK-CONVERTD,1.90%,1.90%,0.10%,5.80%,5.80%
MOSQUITO REPELLANTS CTG (8/93),TWIN BLADES,1.90%,0.50%,0.10%,11.40%,3.30%
NON-REFINED OILS   (9/93),PRE-POST WASH PRODUCTS,1.70%,3.30%,0.10%,1.90%,3.70%
NON-REFINED OILS   (9/93),SANITARY NAPKINS,1.70%,2.90%,0.10%,2.70%,4.60%
NON-REFINED OILS   (9/93),SCOURING PADS/SCRUBS,1.70%,1.70%,0.10%,3.80%,3.70%
NON-REFINED OILS   (9/93),SHAMPOO - BY SEGMENTS,1.70%,4.30%,0.10%,1.80%,4.60%
OLIVE OILS,VERMICELLI & NOODLE,0.20%,17.20%,0.10%,0.40%,40.00%
OTHER SCOURERS,WASHING POWDERS/LIQUIDS,0.20%,14.40%,0.10%,0.40%,28.60%
PACKAGED ATTA (1/95),SAFETY RAZOR BLADES,8.70%,0.30%,0.10%,21.10%,0.70%
PACKAGED ATTA (1/95),SHAVING PREPARATIONS,8.70%,0.50%,0.10%,17.10%,1.10%
PACKAGED ATTA (1/95),SOAP CAKES/BARS,8.70%,0.80%,0.10%,18.00%,1.60%
PACKAGED ATTA (1/95),SUGAR SUBSTITUTE (11/05),8.70%,0.40%,0.10%,14.30%,0.70%
PACKAGED PURE GHEE,PRICKLY HEAT POWDER,4.90%,0.80%,0.10%,9.60%,1.60%
PACKAGED PURE GHEE,SOAP CAKES/BARS,4.90%,0.80%,0.10%,16.00%,2.60%
PACKAGED PURE GHEE,TOOTH BRUSH   (7/93),4.90%,1.60%,0.10%,8.80%,2.90%
PACKAGED PURE GHEE,VANASPATI CONS PACK (8/94),4.90%,1.00%,0.10%,10.90%,2.20%
PACKAGED RICE (1/95),PRE-POST WASH PRODUCTS,1.20%,3.30%,0.10%,3.70%,10.70%
PACKAGED RICE (1/95),READY TO EAT,1.20%,3.90%,0.10%,2.80%,9.30%
PACKAGED RICE (1/95),SCOURING PADS/SCRUBS,1.20%,1.70%,0.10%,4.70%,6.70%
PACKAGED RICE (1/95),SQSH CRDLS & SFT DRNK-CONVERTD,1.20%,1.90%,0.10%,5.00%,8.00%
PACKAGED RICE (1/95),TALCUM POWDERS,1.20%,1.70%,0.10%,4.60%,6.70%
PACKAGED RICE (1/95),TOOTH BRUSH   (7/93),1.20%,1.60%,0.10%,5.90%,8.00%
PACKAGED TEA,PALMOLEIN REFINED OIL (01/03),13.30%,0.20%,0.10%,31.20%,0.60%
PACKAGED TEA,RUBEFACIENT,13.30%,0.60%,0.10%,23.10%,1.10%
PACKAGED TEA,SHAVING PREPARATIONS,13.30%,0.50%,0.10%,25.70%,1.10%
PACKAGED TEA,TWIN BLADES,13.30%,0.50%,0.10%,11.40%,0.50%
PALMOLEIN REFINED OIL (01/03),SPICES (03/04),0.20%,15.40%,0.10%,0.40%,25.00%
PALMOLEIN REFINED OIL (01/03),WASHING POWDERS/LIQUIDS,0.20%,14.40%,0.10%,0.80%,43.80%
PRE-POST WASH PRODUCTS,PRICKLY HEAT POWDER,3.30%,0.80%,0.10%,9.60%,2.30%
PRE-POST WASH PRODUCTS,SANITARY NAPKINS,3.30%,2.90%,0.10%,4.80%,4.20%
PRE-POST WASH PRODUCTS,SOAP CAKES/BARS,3.30%,0.80%,0.10%,10.00%,2.30%
PRE-POST WASH PRODUCTS,SUGAR SUBSTITUTE (11/05),3.30%,0.40%,0.10%,14.30%,1.90%
PRE-POST WASH PRODUCTS,VANASPATI CONS PACK (8/94),3.30%,1.00%,0.10%,6.30%,1.90%
PRICKLY HEAT POWDER,READY TO EAT,0.80%,3.90%,0.10%,2.40%,11.50%
PRICKLY HEAT POWDER,REFINED EDIBLE OILS-ALL PACKS,0.80%,12.40%,0.10%,0.90%,13.50%
PRICKLY HEAT POWDER,SHAMPOO - BY SEGMENTS,0.80%,4.30%,0.10%,2.50%,13.50%
PRICKLY HEAT POWDER,SKIN CREAMS,0.80%,4.00%,0.10%,2.40%,11.50%
PRICKLY HEAT POWDER,TALCUM POWDERS,0.80%,1.70%,0.10%,6.40%,13.50%
PRICKLY HEAT POWDER,TOOTH BRUSH   (7/93),0.80%,1.60%,0.10%,5.90%,11.50%
READY TO EAT,SANITARY NAPKINS,3.90%,2.90%,0.10%,2.70%,2.00%
READY TO EAT,SCOURING PADS/SCRUBS,3.90%,1.70%,0.10%,3.80%,1.60%
READY TO EAT,SQSH CRDLS & SFT DRNK-CONVERTD,3.90%,1.90%,0.10%,7.50%,3.60%
READY TO EAT,TALCUM POWDERS,3.90%,1.70%,0.10%,4.60%,2.00%
READY TO EAT,TOOTH BRUSH   (7/93),3.90%,1.60%,0.10%,4.90%,2.00%
REFINED EDIBLE OILS-ALL PACKS,RUBEFACIENT,12.40%,0.60%,0.10%,12.80%,0.60%
REFINED EDIBLE OILS-ALL PACKS,SAFETY RAZOR BLADES,12.40%,0.30%,0.10%,31.60%,0.80%
REFINED EDIBLE OILS-ALL PACKS,SHOE POLISHES,12.40%,0.20%,0.10%,28.60%,0.50%
REFINED EDIBLE OILS-ALL PACKS,TOOTH POWDERS,12.40%,0.30%,0.10%,21.10%,0.50%
REFINED EDIBLE OILS-ALL PACKS,TWIN BLADES,12.40%,0.50%,0.10%,22.90%,1.00%
RUBEFACIENT,SALTY SNACKS (2/97),0.60%,20.10%,0.10%,0.60%,20.50%
RUBEFACIENT,SKIN CREAMS,0.60%,4.00%,0.10%,1.60%,10.30%
RUBEFACIENT,TOOTH BRUSH   (7/93),0.60%,1.60%,0.10%,6.90%,18.00%
RUBEFACIENT,TOOTH PASTES,0.60%,9.10%,0.10%,1.50%,23.10%
SAFETY RAZOR BLADES,SALTY SNACKS (2/97),0.30%,20.10%,0.10%,0.40%,26.30%
SAFETY RAZOR BLADES,TOILET SOAPS (04/00),0.30%,11.80%,0.10%,0.80%,31.60%
SAFETY RAZOR BLADES,TOOTH PASTES,0.30%,9.10%,0.10%,0.90%,26.30%
SALTY SNACKS (2/97),SHAVING PREPARATIONS,20.10%,0.50%,0.10%,17.10%,0.50%
SALTY SNACKS (2/97),SUGAR SUBSTITUTE (11/05),20.10%,0.40%,0.10%,25.00%,0.50%
SANITARY NAPKINS,SCOURING PADS/SCRUBS,2.90%,1.70%,0.10%,3.80%,2.20%
SANITARY NAPKINS,SQSH CRDLS & SFT DRNK-CONVERTD,2.90%,1.90%,0.10%,5.80%,3.80%
SCOURING PADS/SCRUBS,TALCUM POWDERS,1.70%,1.70%,0.10%,4.60%,4.70%
SCOURING PADS/SCRUBS,TOOTH BRUSH   (7/93),1.70%,1.60%,0.10%,6.90%,6.60%
SHAMPOO - BY SEGMENTS,SQSH CRDLS & SFT DRNK-CONVERTD,4.30%,1.90%,0.10%,4.20%,1.80%
SHAMPOO - BY SEGMENTS,TOOTH BRUSH   (7/93),4.30%,1.60%,0.10%,8.80%,3.20%
SHAMPOO - BY SEGMENTS,VANASPATI CONS PACK (8/94),4.30%,1.00%,0.10%,7.80%,1.80%
SHAVING PREPARATIONS,SPICES (03/04),0.50%,15.40%,0.10%,0.90%,25.70%
SHAVING PREPARATIONS,WASHING POWDERS/LIQUIDS,0.50%,14.40%,0.10%,0.50%,14.30%
SKIN CREAMS,SQSH CRDLS & SFT DRNK-CONVERTD,4.00%,1.90%,0.10%,6.70%,3.10%
SKIN CREAMS,TALCUM POWDERS,4.00%,1.70%,0.10%,8.30%,3.50%
SKIN CREAMS,VANASPATI CONS PACK (8/94),4.00%,1.00%,0.10%,6.30%,1.60%
SPICES (03/04),SUGAR SUBSTITUTE (11/05),15.40%,0.40%,0.10%,25.00%,0.70%
SPICES (03/04),TOOTH POWDERS,15.40%,0.30%,0.10%,31.60%,0.60%
SPICES (03/04),TWIN BLADES,15.40%,0.50%,0.10%,25.70%,0.90%
SQSH CRDLS & SFT DRNK-CONVERTD,TOOTH BRUSH   (7/93),1.90%,1.60%,0.10%,3.90%,3.30%
SQSH CRDLS & SFT DRNK-CONVERTD,VANASPATI CONS PACK (8/94),1.90%,1.00%,0.10%,6.30%,3.30%
SUGAR SUBSTITUTE (11/05),TOILET SOAPS (04/00),0.40%,11.80%,0.10%,1.10%,28.60%
SUGAR SUBSTITUTE (11/05),TOOTH PASTES,0.40%,9.10%,0.10%,1.20%,25.00%
SUGAR SUBSTITUTE (11/05),VERMICELLI & NOODLE,0.40%,17.20%,0.10%,0.50%,17.80%
TOILET SOAPS (04/00),TOOTH POWDERS,11.80%,0.30%,0.10%,47.40%,1.20%
TOILET SOAPS (04/00),TWIN BLADES,11.80%,0.50%,0.10%,14.30%,0.70%
TOOTH BRUSH   (7/93),TOOTH POWDERS,1.60%,0.30%,0.10%,31.60%,5.90%
TOOTH PASTES,TOOTH POWDERS,9.10%,0.30%,0.10%,21.10%,0.70%
TOOTH PASTES,TWIN BLADES,9.10%,0.50%,0.10%,17.10%,1.00%
TWIN BLADES,VERMICELLI & NOODLE,0.50%,17.20%,0.10%,0.60%,20.00%
